daily-english-0001	eng	I work from home on weekdays.
daily-english-0002	eng	You work from home on weekdays.
daily-english-0003	eng	We work from home on weekdays.
daily-english-0004	eng	They work from home on weekdays.
daily-english-0005	eng	She works from home on weekdays.
daily-english-0006	eng	I study English every evening.
daily-english-0007	eng	You study English every evening.
daily-english-0008	eng	We study English every evening.
daily-english-0009	eng	They study English every evening.
daily-english-0010	eng	She studies English every evening.
daily-english-0011	eng	I read the news before breakfast.
daily-english-0012	eng	You read the news before breakfast.
daily-english-0013	eng	We read the news before breakfast.
daily-english-0014	eng	They read the news before breakfast.
daily-english-0015	eng	She reads the news before breakfast.
daily-english-0016	eng	I drink tea in the morning.
daily-english-0017	eng	You drink tea in the morning.
daily-english-0018	eng	We drink tea in the morning.
daily-english-0019	eng	They drink tea in the morning.
daily-english-0020	eng	She drinks tea in the morning.
daily-english-0021	eng	I cook dinner at home.
daily-english-0022	eng	You cook dinner at home.
daily-english-0023	eng	We cook dinner at home.
daily-english-0024	eng	They cook dinner at home.
daily-english-0025	eng	She cooks dinner at home.
daily-english-0026	eng	I walk to the office on Mondays.
daily-english-0027	eng	You walk to the office on Mondays.
daily-english-0028	eng	We walk to the office on Mondays.
daily-english-0029	eng	They walk to the office on Mondays.
daily-english-0030	eng	She walks to the office on Mondays.
daily-english-0031	eng	I watch a short lesson after lunch.
daily-english-0032	eng	You watch a short lesson after lunch.
daily-english-0033	eng	We watch a short lesson after lunch.
daily-english-0034	eng	They watch a short lesson after lunch.
daily-english-0035	eng	She watches a short lesson after lunch.
daily-english-0036	eng	I write in a journal before bed.
daily-english-0037	eng	You write in a journal before bed.
daily-english-0038	eng	We write in a journal before bed.
daily-english-0039	eng	They write in a journal before bed.
daily-english-0040	eng	She writes in a journal before bed.
daily-english-0041	eng	I listen to English podcasts on the bus.
daily-english-0042	eng	You listen to English podcasts on the bus.
daily-english-0043	eng	We listen to English podcasts on the bus.
daily-english-0044	eng	They listen to English podcasts on the bus.
daily-english-0045	eng	She listens to English podcasts on the bus.
daily-english-0046	eng	I practice pronunciation every day.
daily-english-0047	eng	You practice pronunciation every day.
daily-english-0048	eng	We practice pronunciation every day.
daily-english-0049	eng	They practice pronunciation every day.
daily-english-0050	eng	She practices pronunciation every day.
daily-english-0051	eng	I review new words after dinner.
daily-english-0052	eng	You review new words after dinner.
